timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.0,0.003498,0.077004,-9.898651,0.007181,-0.002447,0.007598,20.068,0.168,-40.268
10.0,-0.044426,-0.099316,-9.763818,0.010587,0.007548,0.013627,19.811,0.265,-39.301
20.0,0.008059,0.001841,-9.818634,-0.003312,0.009559,0.002616,19.338,0.209,-40.357
30.0,0.029248,-0.011319,-9.839996,-0.004972,0.010348,0.006300,19.969,0.204,-40.734
40.0,0.046405,0.009343,-9.808672,0.000448,0.003141,-0.018015,20.342,0.090,-40.906
50.0,0.000015,-0.041720,-9.855185,-0.002755,0.001400,-0.006174,19.808,0.275,-39.653
60.0,-0.008869,0.073744,-9.790107,-0.004837,0.008222,-0.013976,19.786,-0.036,-40.062
70.0,0.055379,0.052956,-9.858413,0.001457,0.004314,0.016099,20.389,-0.763,-39.182
80.0,-0.015792,0.024832,-9.843873,0.014178,0.013060,0.002504,19.529,0.446,-39.585
90.0,-0.064245,-0.038633,-9.844097,-0.004276,-0.007629,-0.009313,20.195,0.124,-39.904
100.0,-0.010274,0.115811,-9.821065,-0.003772,-0.002488,-0.010843,19.197,0.037,-39.848
110.0,-0.066409,-0.019131,-9.908554,0.002182,-0.005760,-0.001675,20.695,-0.254,-40.254
120.0,-0.067236,0.084844,-9.816938,0.002042,0.011865,0.013800,19.734,0.087,-39.948
130.0,-0.034841,-0.022456,-9.762629,0.006110,-0.001418,0.017011,19.777,0.060,-39.696
140.0,-0.071576,0.094977,-9.842481,0.005219,0.006055,0.014956,19.529,-0.258,-40.644
150.0,-0.029776,0.032536,-9.793920,-0.021660,0.014331,0.015645,20.803,0.728,-39.788
160.0,0.001959,-0.074522,-9.807062,0.001465,0.000311,-0.012125,20.298,-0.668,-40.687
170.0,-0.002528,0.000028,-9.784354,-0.001573,-0.018034,0.009156,20.508,0.221,-40.331
180.0,0.035233,-0.064096,-9.739719,0.003563,-0.013044,0.006652,19.469,-0.317,-39.951
190.0,-0.107942,-0.098978,-9.793979,-0.033350,-0.005246,0.004875,20.499,0.053,-40.507
200.0,-0.072402,-0.000165,-9.802178,-0.008331,-0.011309,-0.009336,20.681,-0.570,-39.698
210.0,-0.032173,-0.000536,-9.817259,-0.003331,0.015201,-0.001026,19.956,-0.060,-39.863
220.0,0.025663,0.000481,-9.854778,-0.004769,-0.002503,-0.011359,20.205,0.405,-40.646
230.0,0.088928,-0.004475,-9.813142,-0.015792,-0.005079,-0.001209,19.657,0.450,-40.180
240.0,0.011051,0.111361,-9.817226,0.003221,0.010932,0.011752,19.479,0.075,-39.601
250.0,-0.040239,0.019405,-9.824400,0.004516,0.010468,-0.009406,19.618,0.008,-40.172
260.0,-0.001488,-0.069306,-9.768380,0.009162,-0.001659,-0.005337,19.463,-0.101,-39.626
270.0,0.019858,-0.085708,-9.785105,0.002751,-0.005797,-0.011896,20.519,-1.155,-39.938
280.0,-0.046835,-0.054388,-9.789613,-0.005409,-0.013282,-0.000645,20.263,0.246,-40.036
290.0,0.055247,-0.025532,-9.800903,-0.011042,0.003619,-0.005702,20.323,-0.020,-40.066
300.0,-0.118892,0.053351,-9.780029,-0.013453,0.006125,-0.015817,20.560,0.993,-39.787
310.0,-0.042595,0.036923,-9.895960,0.006389,0.004059,-0.012943,19.900,-0.765,-39.897
320.0,0.018530,0.072651,-9.843161,0.003303,0.012466,0.017276,20.386,-1.116,-40.044
330.0,0.008725,0.068724,-9.769870,-0.000604,-0.002488,-0.009018,19.761,-0.568,-39.656
340.0,0.057022,0.073425,-9.796603,0.011851,-0.008307,0.023100,19.532,0.088,-39.362
350.0,0.004157,-0.075121,-9.778463,0.004053,0.003437,-0.016741,19.514,-1.182,-39.839
360.0,-0.027905,0.009421,-9.790113,0.003652,-0.000117,0.002469,20.822,0.574,-41.159
370.0,0.025960,-0.033039,-9.771207,-0.003902,-0.006328,-0.003168,20.702,0.460,-40.432
380.0,0.020062,-0.026761,-9.883981,-0.008303,0.007485,-0.002321,20.045,-0.413,-40.363
390.0,0.023804,0.042926,-9.829429,0.023065,-0.013783,0.007900,20.344,0.304,-40.443
400.0,-0.018046,-0.060291,-9.856926,0.012194,-0.016292,-0.000166,20.409,1.400,-40.092
410.0,0.012020,0.033441,-9.891374,-0.010225,-0.003270,-0.001859,19.714,0.256,-40.527
420.0,-0.040195,0.088299,-9.841214,-0.007367,-0.000889,-0.003750,19.943,-0.315,-40.338
430.0,-0.063916,0.041062,-9.774338,0.001913,0.017278,0.010494,20.188,-0.085,-39.718
440.0,-0.104441,0.006603,-9.760774,0.004879,-0.010079,-0.010035,19.557,0.528,-39.627
450.0,-0.077400,-0.085632,-9.703835,0.000708,0.004104,0.011159,20.038,-0.690,-40.247
460.0,0.029802,0.009344,-9.828575,-0.000652,-0.007729,0.020011,19.441,-0.063,-39.605
470.0,-0.004884,0.079351,-9.829390,0.014110,0.012383,0.004561,19.497,-0.379,-40.557
480.0,0.057035,0.072440,-9.797512,0.005124,-0.016535,-0.009184,19.926,-0.260,-40.346
490.0,-0.030023,-0.002591,-9.772511,-0.000742,0.011343,0.010614,20.350,0.065,-40.056
500.0,0.034173,-0.005917,-9.840535,0.005450,0.009056,-0.006017,20.083,0.357,-40.442
510.0,-0.014901,0.035858,-9.723410,-0.002460,0.002390,-0.006100,19.978,0.951,-40.330
520.0,0.029211,0.060559,-9.808329,-0.003479,0.006024,0.011824,19.121,0.081,-40.013
530.0,-0.007744,-0.091285,-9.916744,-0.025713,-0.013165,-0.011564,21.135,0.142,-39.658
540.0,-0.024234,0.021060,-9.777744,0.000002,-0.017240,0.002421,20.015,-0.385,-40.102
550.0,-0.063111,0.002550,-9.813078,-0.011826,0.019699,-0.000057,19.944,-0.916,-39.833
560.0,0.056145,-0.026500,-9.778813,0.000903,-0.003972,0.006315,20.445,0.069,-40.506
